State/UT,literacy rate,%male,%female,%urban,%rural
Andhra Pradesh,67.02,50.1794231566352,49.8205768433648,33.3634615345281,66.6365384654719
Arunachal Pradesh,65.38,51.5934140188057,48.4065859811943,22.652300634446,77.267047618497
Assam,72.19,51.078829629679,48.921170370321,14.0640121496235,85.8196817132938
Bihar,61.8,52.1406750536977,47.8593249463023,11.267695242046,88.449099616778
Chhattisgarh,70.28,50.2360365341463,49.7639634658537,23.2393501119075,76.7410689085283
Delhi,86.21,52.9387493082088,46.4655850291587,76.8752999548902,5.62741434461796
Goa,88.7,50.6765303778766,49.3234696221234,62.1378839871242,37.8057584784837
Gujarat,78.03,52.1036076755653,47.8963923244347,42.5429219592979,57.3643178062522
Haryana,75.55,53.2305947483423,46.7694052516577,34.7971568661405,65.2092293533209
Himachal Pradesh,82.8,50.7221394627103,49.2778605372897,10.0326865272014,89.8494188009735
Jammu & Kashmir,67.16,51.5110611797072,48.434303458291,31.143759340554,68.8016052974443
Jharkhand,66.41,52.9503396058878,47.0496603941122,27.2228991854275,72.8378919509314
Karnataka,75.36,51.3224391534241,48.6775608465759,24.0368006265526,75.8968239913176
Kerala,94,50.6858277487382,49.3141722512618,38.5924549969861,61.4654987273407
Madhya Pradesh,69.32,51.3749941836118,48.6250058163883,78.0295627627069,21.9021916150947
Maharashtra,82.34,51.7884600988046,48.2115399011954,27.6201946308835,72.339539246451
Manipur,79.21,51.8295009590847,48.1704990409153,45.2305518912401,54.7682369781007
Meghalaya,74.43,47.4021550792944,47.0365087833002,30.2059405765983,69.7940594234017
Mizoram,91.33,50.2827035322184,49.7172964677816,20.0558901933979,79.8469710191382
Nagaland,79.55,50.6139230007856,49.3860769992144,51.2207370357071,48.2167432551408
Odisha,72.87,51.7891313731298,48.2108686268702,28.9987576459362,71.1073832626907
Punjab,75.84,49.0812554639478,50.9187445360522,68.1213955974304,31.5990265659043
Rajasthan,66.11,52.7674968311311,47.2325031688689,37.4411903859586,62.4178676697087
Sikkim,81.42,51.8625931616792,48.1374068383208,24.917819789239,75.1880542513318
Tamil Nadu,80.09,52.9122453023943,47.0877546976057,24.8496094677657,74.6772315367267
Tripura,87.22,50.0893453271742,49.9106546728258,48.4423669276476,51.5464448086082
Uttarakhand,79.63,52.2893178054503,47.7106821945497,22.2561102970111,77.6283492919989
Uttar Pradesh,67.68,51.0184634002347,48.9815365997653,26.1568511210242,73.7646223363239
West Bengal,76.26,50.9381743062763,49.0618256937237,30.6472289320991,69.6547651009905
A & N Islands,86.63,53.305603800505,46.694396199495,35.612129875112,64.2204944545314
Chandigarh,86.05,55.01568051542,44.98431948458,97.1795916433749,2.74802217063812
Dadra & Nagar Haveli,76.24,56.373269248114,43.6267307518861,46.5012554224649,53.2496966910963
Daman & Diu,87.1,61.7894568072782,38.2105431927218,75.0595074142744,24.8023613857519
Lakshadweep,91.85,47.9775571265346,52.0224428734654,47.6924561683582,52.2225772143564
Puducherry,85.85,50.536107664948,49.463892335052,16.6676696633157,83.2683386739927
